record_id,task_type,project_id,split,quality_level,review_status,approve,notes
eb51e790-24cc-56da-9ffe-e7106fbe99d8,qualification_extract,c4474ca8-d9ac-5201-be70-da34217c73bc,train,silver,pending,yes,course_pilot_auto_qc
0fcbc0ba-86d7-5798-9fd1-582d6e12350d,risk_detect,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
5212e171-ae2b-5788-8a6c-a726b650d39a,scoring_extract,6dc5d746-5e3e-558a-83d3-1b1bb716ba30,train,silver,pending,yes,course_pilot_auto_qc
464b813a-ee82-5271-aca5-884164981d62,qualification_extract,20e306bd-ec4f-59ad-b37c-539c3def5a23,train,silver,pending,yes,course_pilot_auto_qc
9624fed6-2576-5404-bc3d-686fcc5137cc,requirement_classify,e4fbfbd4-1124-53ca-9d25-54b3c7da01bc,train,silver,pending,yes,course_pilot_auto_qc
fb3a332a-cd1d-580b-aab7-a8301e1a4168,requirement_classify,ab8d6a0c-4f83-551f-b06e-8a256e8fcebe,train,silver,pending,yes,course_pilot_auto_qc
0b3751ad-6164-5db2-a5a2-7a4645cf477c,requirement_classify,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
f453f2ce-7a35-5fb1-9135-747b50136b78,tool_call,a86bec0e-7bc3-5656-a94d-d2b9e53ffb19,train,silver,pending,yes,course_pilot_auto_qc
e50d350e-c6d9-5ea2-9c68-8fef563e4d13,citation_qa,ddff323e-15ad-5c77-b0bf-0683e02f5a2d,train,silver,pending,yes,course_pilot_auto_qc
c3dbf6ee-6d70-58b2-b39f-892032827c08,tool_call,ce28d910-5387-53c4-8aca-e0d17f53e35e,train,silver,pending,yes,course_pilot_auto_qc
3f2f14f9-ecc9-5bea-b817-0338a89a9f8e,citation_qa,de18da6a-f1c8-56d8-ba1a-4d9288cb11c4,train,silver,pending,yes,course_pilot_auto_qc
0ded0f8a-8e25-5d3f-9641-172b9bd76f20,citation_qa,c2f962b0-75a9-5162-a8bd-4a5a60c2b3e3,train,silver,pending,yes,course_pilot_auto_qc
08311973-0e56-5de0-9a08-2fd681efee3a,qualification_extract,e4fbfbd4-1124-53ca-9d25-54b3c7da01bc,train,silver,pending,yes,course_pilot_auto_qc
d0ab1cb1-6a42-582c-af65-e679bb6ebd80,scoring_extract,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
0d4b65f4-6c77-5e09-895b-47ff1b4c4061,risk_detect,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
d0d38312-03b4-5ec2-80d1-f03205545dc7,qualification_extract,3a301dc8-7b16-5c69-82be-9bc2648aae42,train,silver,pending,yes,course_pilot_auto_qc
d4b4fc5d-8da2-57e7-83d8-c3ffac2dbede,citation_qa,a75536b2-47d3-54b2-bff4-faf6a56a49dc,train,silver,pending,yes,course_pilot_auto_qc
10e3fed1-4e26-58df-b3d3-23545a3e39c0,risk_detect,ce28d910-5387-53c4-8aca-e0d17f53e35e,train,silver,pending,yes,course_pilot_auto_qc
04990b25-4ce6-595e-a725-7bb509a711dd,qualification_extract,ce28d910-5387-53c4-8aca-e0d17f53e35e,train,silver,pending,yes,course_pilot_auto_qc
c04e47a3-29e2-5044-ab68-30a9b927756b,citation_qa,fe74ac2a-c1b8-592b-a6d0-f5a5e13198e2,train,silver,pending,yes,course_pilot_auto_qc
965d1f2d-97cc-5430-abde-17443fb40e39,citation_qa,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
f515a83a-dc70-55ec-a820-4a13ac112084,citation_qa,a86bec0e-7bc3-5656-a94d-d2b9e53ffb19,train,silver,pending,yes,course_pilot_auto_qc
56caa66f-1510-5564-b2e9-655059bfc294,qualification_extract,d9b41828-9428-5bd7-944d-e0626f77a149,train,silver,pending,yes,course_pilot_auto_qc
bb300496-62b8-5ac3-9a7a-33143d4ec850,tool_call,3a301dc8-7b16-5c69-82be-9bc2648aae42,train,silver,pending,yes,course_pilot_auto_qc
11e181aa-790a-561b-9409-e7552114d294,requirement_classify,ca35f1bf-ccc4-5c50-aafa-5efb342617ed,train,silver,pending,yes,course_pilot_auto_qc
10e252c0-2119-5228-bcfe-ff97651a3d58,risk_detect,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
0c33c18e-7a7a-5b53-a21d-05b790171dc6,requirement_classify,c2f962b0-75a9-5162-a8bd-4a5a60c2b3e3,train,silver,pending,yes,course_pilot_auto_qc
582e96a9-1221-5a90-8c39-b261e120bf94,project_info_extract,fa432488-7da3-5b5c-93ff-7297e1eada9f,train,silver,pending,yes,course_pilot_auto_qc
3254312d-b27f-5173-a29d-856e55993930,citation_qa,fe74ac2a-c1b8-592b-a6d0-f5a5e13198e2,train,silver,pending,yes,course_pilot_auto_qc
c6d837e7-e8de-57bd-add4-4254c9dbaa2a,tool_call,6266cba7-1260-5932-8e3c-6eef0f512739,train,silver,pending,yes,course_pilot_auto_qc
17a48226-3f74-5d34-8dd3-b844de09e1e5,qualification_extract,6266cba7-1260-5932-8e3c-6eef0f512739,train,silver,pending,yes,course_pilot_auto_qc
0eb95525-fa38-5eea-b2cf-4d72fa3b2b13,risk_detect,6266cba7-1260-5932-8e3c-6eef0f512739,train,silver,pending,yes,course_pilot_auto_qc
7da533fc-7d9a-519d-b8dd-f560f8419cbf,tool_call,a8a42050-ff30-538f-8d88-5e052018d273,train,silver,pending,yes,course_pilot_auto_qc
68483507-30e8-5a89-bfdd-f64a9af98457,tool_call,a75536b2-47d3-54b2-bff4-faf6a56a49dc,train,silver,pending,yes,course_pilot_auto_qc
1198cf0f-bf78-5490-bf39-67030a058e7c,requirement_classify,6266cba7-1260-5932-8e3c-6eef0f512739,train,silver,pending,yes,course_pilot_auto_qc
65295f6b-951a-565e-b23a-2e45a155e97b,citation_qa,ddff323e-15ad-5c77-b0bf-0683e02f5a2d,train,silver,pending,yes,course_pilot_auto_qc
